Index,Frequency,Percentage,Word,Desc,Code,Translit,Len
136,691.44,44.31, перед , предл тв ,4127913,pered,5
137,690.34,44.38, нужный , прл ед муж им ,52759,nuzhnyj,7
140,675.46,44.58, работа , сущ неод ед жен им ,16371,rabota,6
141,674.85,44.65, три , числ кол им ,4015054,tri,3
142,668.91,44.71, ваш , мест прил ед муж им ,4013739,vash,4
143,661.32,44.78, уж , част ,207693,uzh,3
144,655.02,44.85, земля , сущ неод ед жен им ,6467,zemlja,6
145,653.3,44.91, конец , сущ неод ед муж им ,131651,konets,6
147,643.82,45.04, час , сущ неод ед муж им ,35277,chas,4
148,632.06,45.1, голос , сущ неод ед муж им ,24435,golos,5
149,630.59,45.17, город , сущ неод ед муж им ,24483,gorod,5
151,629.68,45.29, пока , союз ,207231,poka,4
152,625.21,45.35, хорошо , нар опред кач ,206247,horosho,7
153,619.33,45.42, давать , гл несов пер/не инф ,59473,davat',6
154,618.29,45.48, вода , сущ неод ед жен им ,3227,voda,4
155,617.92,45.54, более , нар опред степ ,198737,bolee,5
156,615.35,45.6, хотя , союз ,207322,hotja,5
157,614.25,45.66, всегда , нар обст врем ,199496,vsegda,6
158,607.09,45.72, второй , числ поряд ед муж им ,4015435,vtoroj,6
159,603.66,45.78, куда , мест нар ,4013985,kuda,4
160,598.46,45.84, пойти , гл сов непер инф ,63229,pojti,5
161,595.89,45.9, стол , сущ неод ед муж им ,33339,stol,4
162,593.5,45.96, ребенок , сущ одуш ед муж им ,36875,rebenok,7
163,588.54,46.02, увидеть , гл сов перех инф ,66538,uvidet',7
164,587.44,46.08, сила , сущ неод ед жен им ,17991,sila,4
165,584.44,46.14, отец , сущ одуш ед муж им ,135505,otets,5
167,581.38,46.26, машина , сущ неод ед жен им ,9821,mashina,7
168,579.24,46.31, случай , сущ неод ед муж им ,140249,sluchaj,7
169,577.71,46.37, ночь , сущ неод ед жен им ,12161,noch',5
170,573.12,46.43, сразу , нар опред спос ,205583,srazu,5
171,569.14,46.49, мир , сущ неод ед муж им ,28299,mir,3
172,564.0,46.54, совсем , нар опред степ ,205498,sovsem,6
175,557.57,46.71, вид , сущ неод ед муж им ,23745,vid,3
176,552.73,46.76, выйти , гл сов непер инф ,59040,vyjti,5
177,546.0,46.82, дать , гл сов пер/не инф ,71854,dat',4
179,529.23,46.93, любить , гл несов перех инф ,61033,ljubit',7
180,528.25,46.98, старый , прл ед муж им ,56154,staryj,6
181,522.5,47.03, почти , нар опред степ ,204292,pochti,6
182,521.21,47.08, ряд , сущ неод ед муж им ,32169,rjad,4
184,515.95,47.19, начало , сущ неод ед ср им ,40601,nachalo,7
185,512.58,47.24, твой , мест прил ед муж им ,4013689,tvoj,4
186,510.99,47.29, вопрос , сущ неод ед муж им ,23937,vopros,6
187,508.48,47.34, много , числ неопр им ,4016616,mnogo,5
188,506.89,47.39, война , сущ неод ед жен им ,3275,vojna,5
189,506.09,47.44, снова , нар опред спос ,205459,snova,5
191,498.44,47.54, между , предл тв ,4127905,mezhdu,6
193,494.03,47.64, опять , нар опред спос ,202849,opjat',6
194,493.36,47.69, белый , прл ед муж им ,46972,belyj,5
195,493.3,47.74, деньги , сущ неод мн им ,1407856,den'gi,6
197,478.67,47.84, про , предл вин ,4127924,pro,3
198,477.51,47.88, лишь , част ,207520,lish',5
